objectid,reg,dep,cv,codgeo,libgeo,p21_pop
115979,93,83,8315,83115,Sainte-Maxime,14433
121549,52,44,4423,44154,Saint-Brevin-les-Pins,14411
133267,41,54,5418,54431,Pont-à-Mousson,14338
141114,22,60,6012,60395,Méru,14320
113682,72,40,4005,40279,Saint-Paul-lès-Dax,14317
134980,41,57,5724,57751,Woippy,14302
114939,91,30,3019,30258,Saint-Gilles,14264
120451,23,76,7602,76108,Bois-Guillaume,14262
130540,53,56,5601,56007,Auray,14222
117713,22,60,6009,60176,Crépy-en-Valois,14217
120450,31,59,5907,59291,Hautmont,14182
115826,73,82,8203,82033,Castelsarrasin,14178
131804,53,29,2910,29046,Douarnenez,14163
112720,31,59,5911,59139,Caudry,14070
144559,93,83,8310,83090,Ollioules,14011
135302,54,79,7916,79329,Thouars,14000
136395,11,95,9514,95487,Persan,13996
132684,74,19,1916,19272,Tulle,13992
113264,11,91,9115,91235,Fleury-Mérogis,13983
141059,23,76,7604,76157,Canteleu,13966
112988,43,25,2501,25031,Audincourt,13944
119455,11,77,7709,77307,Montévrain,13934
122278,72,64,6411,64348,Lons,13915
141393,93,13,1306,13014,Berre-l'Étang,13912
114940,72,64,6408,64129,Billère,13866
111336,04,974,97401,974404,L' Étang-Salé,13836
120494,11,77,7704,77251,Lieusaint,13808
128146,82,26,2614,26235,Pierrelatte,13799
141306,42,68,6813,68278,Rixheim,13795
122076,31,59,5913,59367,Lys-lez-Lannoy,13793
126689,31,59,5937,59508,Roncq,13784
145131,73,31,3104,31506,Saint-Orens-de-Gameville,13766
112162,73,82,8205,82112,Moissac,13748
139757,93,13,1327,13097,Saint-Martin-de-Crau,13729
125244,82,69,6900,69283,Mions,13707
129999,22,60,6013,60414,Montataire,13701
114220,11,77,7707,77014,Avon,13660
130782,53,35,3522,35281,Saint-Jacques-de-la-Lande,13656
141737,93,84,8405,84019,Bollène,13605
117314,82,69,6903,69019,Belleville,13542
123465,11,77,7723,77479,Vaires-sur-Marne,13518
119053,73,65,6598,65286,Lourdes,13509
135713,82,69,6906,69277,Genas,13483
133598,53,29,2903,29212,Plouzané,13473
132941,52,85,8505,85092,Fontenay-le-Comte,13471
112926,11,78,7815,78242,Fontenay-le-Fleury,13455
131499,53,29,2912,29189,Plougastel-Daoulas,13445
141180,22,02,0218,02738,Tergnier,13431
113850,31,59,5903,59014,Anzin,13422
144984,24,45,4507,45155,Gien,13387
144766,04,974,97406,974402,Bras-Panon,13344
128472,42,67,6707,67365,Ostwald,13310
130833,31,62,6210,62108,Berck,13298
138011,25,61,6198,61006,Argentan,13291
144707,93,06,0617,06033,Carros,13277
123124,31,62,6236,62643,Outreau,13270
127768,24,45,4502,45004,Amilly,13267
140428,11,78,7805,78015,Andrésy,13230
136258,11,91,9117,91432,Morangis,13211
112877,11,77,7715,77333,Nemours,13189
112550,42,68,6808,68166,Kingersheim,13178
133605,31,59,5924,59421,Mouvaux,13173
119707,73,81,8112,81105,Graulhet,13166
140296,26,71,7196,71014,Autun,13145
118749,93,84,8410,84080,Monteux,13129
133516,82,01,0109,01173,Gex,13078
123864,41,57,5709,57240,Freyming-Merlebach,13027
115305,01,971,97116,971125,Saint-François,13004
136598,22,60,6017,60471,Noyon,12987
123657,31,59,5923,59527,Saint-André-lez-Lille,12942
120949,24,37,3701,37003,Amboise,12938
123404,72,40,4015,40312,Tarnos,12920
130774,83,03,0304,03095,Cusset,12909
138480,24,28,2807,28088,Châteaudun,12909
126493,52,53,5314,53147,Mayenne,12900
133212,82,74,7405,74042,Bonneville,12895
139529,72,33,3320,33366,Saint-André-de-Cubzac,12854
130123,74,23,2399,23096,Guéret,12840
133749,93,13,1303,13007,Auriol,12839
118396,31,59,5918,59560,Seclin,12834
120049,91,34,3410,34123,Juvignac,12783
131118,21,10,1010,10333,Saint-André-les-Vergers,12775
139551,25,14,1402,14047,Bayeux,12775
145161,93,06,0625,06152,Valbonne,12754
123816,24,45,4502,45068,Châlette-sur-Loing,12728
122519,52,49,4917,49246,Les Ponts-de-Cé,12725
134846,53,35,3503,35024,Betton,12695
129240,52,85,8515,85226,Saint-Hilaire-de-Riez,12682
126700,93,06,0604,06012,Beausoleil,12674
114821,31,59,5922,59152,Comines,12671
111172,91,34,3414,34157,Mèze,12664
134677,11,93,9309,93079,Villetaneuse,12663
129458,23,27,2721,27701,Val-de-Reuil,12647
135352,91,30,3023,30351,Villeneuve-lès-Avignon,12617
115066,04,974,97422,974405,Petite-Île,12617
119980,83,03,0319,03321,Yzeure,12598
141363,91,66,6603,66037,Canet-en-Roussillon,12598
141864,11,77,7713,77316,Orvanne,12581
121974,25,50,5013,50218,Granville,12581
143223,93,83,8323,83148,Vidauban,12573
111674,91,34,3410,34270,Saint-Jean-de-Védas,12570
128859,93,83,8318,83049,Cuers,12550
114610,73,31,3111,31187,Fonsorbes,12546
136069,41,57,5703,57160,Creutzwald,12514
